date,days,rate
01/02/2015,7,0.136752
01/02/2015,19,0.153242
01/02/2015,47,0.21445
01/02/2015,75,0.234686
01/02/2015,103,0.249432
01/02/2015,138,0.268444
01/02/2015,166,0.290705
01/02/2015,257,0.349229
01/02/2015,348,0.434069
01/02/2015,439,0.536173
01/02/2015,530,0.646622
01/02/2015,628,0.768377
01/02/2015,719,0.881142
01/02/2015,803,0.983701
01/02/2015,901,1.096665
01/02/2015,992,1.195026
01/02/2015,1083,1.286601
01/02/2015,1174,1.371793
01/02/2015,1265,1.449803
01/02/2015,1356,1.521738
01/02/2015,1447,1.58811
01/02/2015,1538,1.650203
01/02/2015,1629,1.707891
01/02/2015,1720,1.761606
01/02/2015,1811,1.811947
01/02/2015,1902,1.859398
01/02/2015,1993,1.903895
01/02/2015,2084,1.945824
01/02/2015,2175,1.985719
01/02/2015,2266,2.023824
01/02/2015,2357,2.059959
01/02/2015,2448,2.094342
01/02/2015,2539,2.127163
01/02/2015,2630,2.158408
01/02/2015,2721,2.188069
01/02/2015,2819,2.218537
01/02/2015,2910,2.24565
01/02/2015,2994,2.269804
01/02/2015,3092,2.296745
01/02/2015,3183,2.320734
01/02/2015,3274,2.343948
01/02/2015,3365,2.366452
01/02/2015,3456,2.388299
01/02/2015,3547,2.409542
01/02/2015,3638,2.430226
01/05/2015,7,0.136752
01/05/2015,16,0.149258
01/05/2015,44,0.217175
01/05/2015,72,0.237194
01/05/2015,100,0.25168
01/05/2015,135,0.270532
01/05/2015,163,0.291974
01/05/2015,254,0.350735
01/05/2015,345,0.434581
01/05/2015,436,0.536226
01/05/2015,527,0.646422
01/05/2015,625,0.767209
01/05/2015,716,0.878028
01/05/2015,800,0.978119
01/05/2015,898,1.087117
01/05/2015,989,1.181088
01/05/2015,1080,1.268145
01/05/2015,1171,1.348723
01/05/2015,1262,1.422041
01/05/2015,1353,1.489564
01/05/2015,1444,1.551752
01/05/2015,1535,1.609851
01/05/2015,1626,1.663703
01/05/2015,1717,1.713982
01/05/2015,1808,1.760974
01/05/2015,1899,1.805152
01/05/2015,1990,1.846671
01/05/2015,2081,1.88588
01/05/2015,2172,1.92328
01/05/2015,2263,1.959089
01/05/2015,2354,1.993103
01/05/2015,2445,2.025521
01/05/2015,2536,2.056696
01/05/2015,2627,2.08641
01/05/2015,2718,2.114807
01/05/2015,2816,2.144008
01/05/2015,2907,2.170016
01/05/2015,2991,2.193208
01/05/2015,3089,2.219096
01/05/2015,3180,2.242163
01/05/2015,3271,2.264506
01/05/2015,3362,2.286184
01/05/2015,3453,2.30725
01/05/2015,3544,2.327751
01/05/2015,3635,2.347729
01/06/2015,7,0.135509
01/06/2015,15,0.146924
01/06/2015,43,0.216288
01/06/2015,71,0.234941
01/06/2015,99,0.248776
01/06/2015,134,0.267204
01/06/2015,162,0.287601
01/06/2015,253,0.342703
01/06/2015,344,0.422223
01/06/2015,435,0.519279
01/06/2015,526,0.624745
01/06/2015,624,0.740405
01/06/2015,715,0.846436
01/06/2015,799,0.941482
01/06/2015,897,1.044686
01/06/2015,988,1.13337
01/06/2015,1079,1.215177
01/06/2015,1170,1.290925
01/06/2015,1261,1.360106
01/06/2015,1352,1.424047
01/06/2015,1443,1.4831
01/06/2015,1534,1.538436
01/06/2015,1625,1.589832
01/06/2015,1716,1.637914
01/06/2015,1807,1.683183
01/06/2015,1898,1.725801
01/06/2015,1989,1.765902
01/06/2015,2080,1.803817
01/06/2015,2171,1.840031
01/06/2015,2262,1.874749
01/06/2015,2353,1.90795
01/06/2015,2444,1.939616
01/06/2015,2535,1.969913
01/06/2015,2626,1.998981
01/06/2015,2717,2.026609
01/06/2015,2815,2.055038
01/06/2015,2906,2.080374
01/06/2015,2990,2.10298
01/06/2015,3088,2.128229
01/06/2015,3179,2.150735
01/06/2015,3270,2.172548
01/06/2015,3361,2.193726
01/06/2015,3452,2.214317
01/06/2015,3543,2.234368
01/06/2015,3634,2.253918
01/07/2015,7,0.13613
01/07/2015,14,0.145611
01/07/2015,42,0.219193
01/07/2015,70,0.236951
01/07/2015,98,0.248905
01/07/2015,133,0.267438
01/07/2015,161,0.28704
01/07/2015,252,0.337078
01/07/2015,343,0.414293
01/07/2015,434,0.510054
01/07/2015,525,0.614691
01/07/2015,623,0.728939
01/07/2015,714,0.833362
01/07/2015,798,0.927245
01/07/2015,896,1.029916
01/07/2015,987,1.11819
01/07/2015,1078,1.199651
01/07/2015,1169,1.275496
01/07/2015,1260,1.345118
01/07/2015,1351,1.409775
01/07/2015,1442,1.46977
01/07/2015,1533,1.525934
01/07/2015,1624,1.578061
01/07/2015,1715,1.626796
01/07/2015,1806,1.67265
01/07/2015,1897,1.715796
01/07/2015,1988,1.756376
01/07/2015,2079,1.794726
01/07/2015,2170,1.831337
01/07/2015,2261,1.866421
01/07/2015,2352,1.899763
01/07/2015,2443,1.93156
01/07/2015,2534,1.962157
01/07/2015,2625,1.991506
01/07/2015,2716,2.019394
01/07/2015,2814,2.048084
01/07/2015,2905,2.073647
01/07/2015,2989,2.09645
01/07/2015,3087,2.121914
01/07/2015,3178,2.144608
01/07/2015,3269,2.166599
01/07/2015,3360,2.187943
01/07/2015,3451,2.208693
01/07/2015,3542,2.228894
01/07/2015,3633,2.248587
01/08/2015,7,0.13613
01/08/2015,13,0.144107
01/08/2015,41,0.220511
01/08/2015,69,0.237991
01/08/2015,97,0.249768
01/08/2015,132,0.268212
01/08/2015,160,0.287802
01/08/2015,251,0.335928
01/08/2015,342,0.410981
01/08/2015,433,0.505532
01/08/2015,524,0.609398
01/08/2015,622,0.723073
01/08/2015,713,0.827747
01/08/2015,797,0.92234
01/08/2015,895,1.026767
01/08/2015,986,1.117749
01/08/2015,1077,1.202306
01/08/2015,1168,1.281151
01/08/2015,1259,1.3537
01/08/2015,1350,1.421224
01/08/2015,1441,1.484039
01/08/2015,1532,1.542982
01/08/2015,1623,1.597859
01/08/2015,1714,1.649315
01/08/2015,1805,1.697868
01/08/2015,1896,1.743936
01/08/2015,1987,1.787399
01/08/2015,2078,1.828598
01/08/2015,2169,1.868031
01/08/2015,2260,1.905909
01/08/2015,2351,1.94183
01/08/2015,2442,1.976199
01/08/2015,2533,2.009002
01/08/2015,2624,2.040578
01/08/2015,2715,2.070712
01/08/2015,2813,2.101655
01/08/2015,2904,2.129175
01/08/2015,2988,2.15368
01/08/2015,3086,2.181008
01/08/2015,3177,2.205332
01/08/2015,3268,2.228861
01/08/2015,3359,2.25166
01/08/2015,3450,2.273788
01/08/2015,3541,2.295295
01/08/2015,3632,2.316229
01/09/2015,7,0.136752
01/09/2015,12,0.143497
01/09/2015,40,0.222238
01/09/2015,68,0.239264
01/09/2015,96,0.250793
01/09/2015,131,0.263687
01/09/2015,159,0.278842
01/09/2015,250,0.321204
01/09/2015,341,0.3896
01/09/2015,432,0.477152
01/09/2015,523,0.574719
01/09/2015,621,0.683685
01/09/2015,712,0.784503
01/09/2015,796,0.876318
01/09/2015,894,0.978165
01/09/2015,985,1.067206
01/09/2015,1076,1.150144
01/09/2015,1167,1.228013
01/09/2015,1258,1.299723
01/09/2015,1349,1.366518
01/09/2015,1440,1.428693
01/09/2015,1531,1.487072
01/09/2015,1622,1.541444
01/09/2015,1713,1.592716
01/09/2015,1804,1.641103
01/09/2015,1895,1.687019
01/09/2015,1986,1.730573
01/09/2015,2077,1.772076
01/09/2015,2168,1.811786
01/09/2015,2259,1.850122
01/09/2015,2350,1.886659
01/09/2015,2441,1.921785
01/09/2015,2532,1.955472
01/09/2015,2623,1.987869
01/09/2015,2714,2.018768
01/09/2015,2812,2.050481
01/09/2015,2903,2.078668
01/09/2015,2987,2.103753
01/09/2015,3085,2.131717
01/09/2015,3176,2.156596
01/09/2015,3267,2.180649
01/09/2015,3358,2.203944
01/09/2015,3449,2.22654
01/09/2015,3540,2.248492
01/09/2015,3631,2.269848
01/12/2015,7,0.133644
01/12/2015,9,0.136653
01/12/2015,37,0.226958
01/12/2015,65,0.242736
01/12/2015,93,0.253592
01/12/2015,128,0.267409
01/12/2015,156,0.281277
01/12/2015,247,0.319524
01/12/2015,338,0.383528
01/12/2015,429,0.466541
01/12/2015,520,0.559449
01/12/2015,618,0.662552
01/12/2015,709,0.758081
01/12/2015,793,0.845552
01/12/2015,891,0.942801
01/12/2015,982,1.02791
01/12/2015,1073,1.107568
01/12/2015,1164,1.182658
01/12/2015,1255,1.251978
01/12/2015,1346,1.316697
01/12/2015,1437,1.37705
01/12/2015,1528,1.434117
01/12/2015,1619,1.487318
01/12/2015,1710,1.537539
01/12/2015,1801,1.584975
