date,days,rate
01/02/2020,7,1.61526
01/02/2020,13,1.650734
01/02/2020,48,1.793245
01/02/2020,76,1.787688
01/02/2020,104,1.778308
01/02/2020,139,1.766726
01/02/2020,167,1.757609
01/02/2020,258,1.737193
01/02/2020,349,1.714261
01/02/2020,440,1.697681
01/02/2020,531,1.676401
01/02/2020,622,1.661347
01/02/2020,713,1.650136
01/02/2020,804,1.646035
01/02/2020,895,1.643281
01/02/2020,993,1.643346
01/02/2020,1084,1.645536
01/02/2020,1168,1.65018
01/02/2020,1266,1.655947
01/02/2020,1357,1.662606
01/02/2020,1448,1.670014
01/02/2020,1539,1.678337
01/02/2020,1630,1.686857
01/02/2020,1721,1.696344
01/02/2020,1812,1.706399
01/02/2020,1903,1.717181
01/02/2020,1994,1.728129
01/02/2020,2085,1.739664
01/02/2020,2176,1.751499
01/02/2020,2267,1.763801
01/02/2020,2358,1.775933
01/02/2020,2449,1.788099
01/02/2020,2540,1.800298
01/02/2020,2631,1.812698
01/02/2020,2722,1.824776
01/02/2020,2813,1.836561
01/02/2020,2904,1.847924
01/02/2020,2995,1.859362
01/02/2020,3093,1.871232
01/02/2020,3184,1.882045
01/02/2020,3275,1.892538
01/02/2020,3366,1.903144
01/02/2020,3457,1.913723
01/02/2020,3548,1.924018
01/02/2020,3639,1.93405
01/03/2020,7,1.610699
01/03/2020,12,1.636965
01/03/2020,47,1.788993
01/03/2020,75,1.784949
01/03/2020,103,1.776223
01/03/2020,138,1.763802
01/03/2020,166,1.752561
01/03/2020,257,1.723128
01/03/2020,348,1.689285
01/03/2020,439,1.663192
01/03/2020,530,1.633919
01/03/2020,621,1.611746
01/03/2020,712,1.59524
01/03/2020,803,1.587055
01/03/2020,894,1.580535
01/03/2020,992,1.576825
01/03/2020,1083,1.576122
01/03/2020,1167,1.578496
01/03/2020,1265,1.582001
01/03/2020,1356,1.586514
01/03/2020,1447,1.592046
01/03/2020,1538,1.598716
01/03/2020,1629,1.605769
01/03/2020,1720,1.613945
01/03/2020,1811,1.62282
01/03/2020,1902,1.632537
01/03/2020,1993,1.642288
01/03/2020,2084,1.652729
01/03/2020,2175,1.663564
01/03/2020,2266,1.675149
01/03/2020,2357,1.686619
01/03/2020,2448,1.698173
01/03/2020,2539,1.709804
01/03/2020,2630,1.721676
01/03/2020,2721,1.733261
01/03/2020,2812,1.744585
01/03/2020,2903,1.755515
01/03/2020,2994,1.766548
01/03/2020,3092,1.778008
01/03/2020,3183,1.788463
01/03/2020,3274,1.798618
01/03/2020,3365,1.808904
01/03/2020,3456,1.81918
01/03/2020,3547,1.829188
01/03/2020,3638,1.838947
01/06/2020,7,1.60031
01/06/2020,9,1.609816
01/06/2020,44,1.78978
01/06/2020,72,1.785262
01/06/2020,100,1.774769
01/06/2020,135,1.761137
01/06/2020,163,1.749277
01/06/2020,254,1.718864
01/06/2020,345,1.684519
01/06/2020,436,1.659241
01/06/2020,527,1.630485
01/06/2020,618,1.608709
01/06/2020,709,1.592524
01/06/2020,800,1.584042
01/06/2020,891,1.577292
01/06/2020,989,1.573392
01/06/2020,1080,1.572125
01/06/2020,1164,1.574065
01/06/2020,1262,1.576747
01/06/2020,1353,1.580604
01/06/2020,1444,1.585566
01/06/2020,1535,1.591735
01/06/2020,1626,1.598344
01/06/2020,1717,1.605858
01/06/2020,1808,1.614139
01/06/2020,1899,1.62332
