"","secid","date","exdate","cp_flag","strike_price","best_bid","best_offer","volume","open_interest","impl_volatility","delta","gamma","vega","theta","optionid","cfadj","forward_price","index_flag","issuer","exercise_style","SPOT","moneyness","price","TM","TTM","interest","own_impvol"
"9747",108105,2015-01-07,2015-02-20,"C",1925,114.3,116.9,121,1028,0.196834,0.776652,0.00217,206.5051,-150.5018,105697028,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,1.05241558441558,115.6,44,30,0.220461428571429,0.180734196287103
"9766",108105,2015-01-07,2015-02-20,"C",2020,44.2,46.4,935,985,0.158987,0.519307,0.003597,276.5246,-171.9424,105728779,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,1.00292079207921,45.3,44,30,0.220461428571429,0.15089291539218
"9772",108105,2015-01-07,2015-02-20,"C",2050,27.3,29.3,569,23516,0.145417,0.402615,0.003822,268.7213,-154.5063,105697033,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.988243902439024,28.3,44,30,0.220461428571429,0.138890643780377
"9777",108105,2015-01-07,2015-02-20,"C",2075,16.6,18.5,770,29376,0.136071,0.299479,0.003668,241.3296,-130.942,105697034,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.97633734939759,17.55,44,30,0.220461428571429,0.130598904987953
"9782",108105,2015-01-07,2015-02-20,"C",2100,9.1,10.4,916,22531,0.127393,0.200927,0.003167,195.0668,-99.81821,105697035,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.964714285714286,9.75,44,30,0.220461428571429,0.122783805217372
"9786",108105,2015-01-07,2015-02-20,"C",2120,5,6.3,188,8098,0.121798,0.134519,0.002556,150.5154,-74.02553,105728783,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.95561320754717,5.65,44,30,0.220461428571429,0.117744263037726
"9788",108105,2015-01-07,2015-02-20,"C",2130,3.7,4.5,285,12764,0.118688,0.105515,0.00221,126.8224,-60.91951,105888717,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.95112676056338,4.1,44,30,0.220461428571429,0.114887560660182
"9791",108105,2015-01-07,2015-02-20,"C",2145,2.2,3.3,13599,554,0.117872,0.075923,0.001742,99.30849,-47.54783,106182161,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.944475524475525,2.75,44,30,0.220461428571429,0.114335165262705
"9793",108105,2015-01-07,2015-02-20,"C",2155,1.75,2,7232,7017,0.11486,0.055969,0.001412,78.39458,-36.64422,106237797,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.940092807424594,1.875,44,30,0.220461428571429,0.111533513676236
"9796",108105,2015-01-07,2015-02-20,"C",2170,0.8,1.75,144,13937,0.115689,0.039844,0.001067,59.70956,-28.19865,105888720,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.933594470046083,1.275,44,30,0.220461428571429,0.112537135395146
"9798",108105,2015-01-07,2015-02-20,"C",2180,0.55,1.35,6939,16265,0.115642,0.03081,0.000865,48.35361,-22.86708,105888722,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.929311926605505,0.95,44,30,0.220461428571429,0.11260634816959
"9810",108105,2015-01-07,2015-02-20,"C",2250,0.2,0.35,2005,1733,0.130383,0.009159,0.000272,17.15822,-9.237649,105888729,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.9004,0.275,44,30,0.220461428571429,0.127666143337463
"9921",108105,2015-01-07,2015-03-20,"C",2000,69.2,71.6,23210,64747,0.168562,0.5675,0.002601,349.9799,-135.7734,103079807,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,1.01295,70.4,72,50,0.237804857142857,0.156502071313484
"9923",108105,2015-01-07,2015-03-20,"C",2010,63,65.2,7955,9548,0.165627,0.541324,0.002672,353.2829,-135.2782,106208382,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,1.00791044776119,64.1,72,50,0.237804857142857,0.154189988589843
"9925",108105,2015-01-07,2015-03-20,"C",2020,56.8,59,8028,6553,0.162252,0.514118,0.002741,355.0744,-133.7277,106122779,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,1.00292079207921,57.9,72,50,0.237804857142857,0.151405955307491
"9931",108105,2015-01-07,2015-03-20,"C",2050,39.6,41.8,2749,74818,0.151339,0.425839,0.002892,349.4122,-124.0479,103079809,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.988243902439024,40.7,72,50,0.237804857142857,0.142101974054263
"9941",108105,2015-01-07,2015-03-20,"C",2100,18.5,20.3,8578,44907,0.135994,0.269027,0.002712,294.4438,-95.43922,103079811,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.964714285714286,19.4,72,50,0.237804857142857,0.128879569995021
"9946",108105,2015-01-07,2015-03-20,"C",2125,11.3,13.4,1501,20331,0.129866,0.196621,0.002385,247.2861,-77.07878,104862874,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.953364705882353,12.35,72,50,0.237804857142857,0.123570289498626
"9953",108105,2015-01-07,2015-03-20,"C",2160,5.1,6.5,116,8019,0.122026,0.112145,0.001747,170.2004,-50.26886,106122785,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.937916666666667,5.8,72,50,0.237804857142857,0.116674066241943
"10968",108105,2015-01-07,2015-01-23,"C",2025,26,26.8,200,542,0.157262,0.503886,0.005976,169.0877,-288.4447,105870384,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,1.00044444444444,26.4,16,11,0.150866857142857,0.153309888803898
"10970",108105,2015-01-07,2015-01-23,"C",2035,20.4,21,148,360,0.150769,0.441509,0.006168,167.2958,-274.6823,105870386,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.995528255528256,20.7,16,11,0.150866857142857,0.147299158612733
"10972",108105,2015-01-07,2015-01-23,"C",2045,15.5,16.1,119,713,0.145137,0.376286,0.006163,160.9352,-255.3326,105870388,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.990660146699266,15.8,16,11,0.150866857142857,0.14209282140812
"10974",108105,2015-01-07,2015-01-23,"C",2055,11.2,11.7,251,439,0.13851,0.30859,0.005991,149.2848,-226.7581,105870390,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.985839416058394,11.45,16,11,0.150866857142857,0.135843131784772
"10978",108105,2015-01-07,2015-01-23,"C",2075,5.1,5.3,191,3899,0.126722,0.180414,0.004888,111.4315,-155.7513,105870394,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.97633734939759,5.2,16,11,0.150866857142857,0.124675595326142
"10983",108105,2015-01-07,2015-01-23,"C",2100,1.55,1.7,170,2755,0.119069,0.072913,0.002743,58.75167,-77.64533,105870399,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.964714285714286,1.625,16,11,0.150866857142857,0.117548746163107
"10986",108105,2015-01-07,2015-01-23,"C",2115,0.75,0.85,125,3032,0.118253,0.039881,0.001714,36.45868,-48.00224,105870402,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.957872340425532,0.8,16,11,0.150866857142857,0.116942250178641
"11119",108105,2015-01-07,2015-01-30,"C",2000,48.4,49.8,2116,1182,0.177635,0.613698,0.004229,194.2988,-255.9588,104648614,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,1.01295,49.1,23,16,0.169262357142857,0.17042475001818
"11128",108105,2015-01-07,2015-01-30,"C",2045,20.9,21.7,187,210,0.150373,0.39948,0.005047,196.262,-222.5381,105918004,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.990660146699266,21.3,23,16,0.169262357142857,0.145624867879586
"11131",108105,2015-01-07,2015-01-30,"C",2060,14.1,14.8,2281,1890,0.141513,0.316165,0.004941,180.8361,-193.85,105870569,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.983446601941748,14.45,23,16,0.169262357142857,0.137393967163959
"11136",108105,2015-01-07,2015-01-30,"C",2085,6.3,6.7,274,4746,0.129091,0.184134,0.004053,135.3005,-133.2317,105918007,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.971654676258993,6.5,23,16,0.169262357142857,0.125819516045705
"11139",108105,2015-01-07,2015-01-30,"C",2100,3.5,3.8,1400,9586,0.123253,0.119917,0.003189,101.6509,-95.92486,104648618,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.964714285714286,3.65,23,16,0.169262357142857,0.120376342726252
"11143",108105,2015-01-07,2015-01-30,"C",2120,1.5,1.7,6339,9691,0.118746,0.061897,0.002021,62.05862,-56.67304,105870574,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.95561320754717,1.6,23,16,0.169262357142857,0.116260429613683
"11156",108105,2015-01-07,2015-01-30,"C",2200,0.05,0.2,171,3401,0.131016,0.005899,0.000251,8.516288,-8.681859,104648622,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.920863636363636,0.125,23,16,0.169262357142857,0.129107545979036
"11283",108105,2015-01-07,2015-02-06,"C",2010,45.9,47.3,101,144,0.171111,0.563383,0.003957,228.4077,-221.5177,105918227,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,1.00791044776119,46.6,30,21,0.187657857142857,0.163296133389472
"11293",108105,2015-01-07,2015-02-06,"C",2060,18.5,18.9,398,668,0.144983,0.3409,0.004352,212.8551,-177.9257,105918237,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.983446601941748,18.7,30,21,0.187657857142857,0.139707957017191
"11297",108105,2015-01-07,2015-02-06,"C",2080,11,11.3,401,418,0.135094,0.244426,0.003999,182.2441,-142.7444,105918241,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.973990384615385,11.15,30,21,0.187657857142857,0.130589518889133
"11301",108105,2015-01-07,2015-02-06,"C",2100,6,6.1,253,249,0.127117,0.158586,0.003275,140.4344,-104.0397,105918245,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.964714285714286,6.05,30,21,0.187657857142857,0.123236377773213
"11303",108105,2015-01-07,2015-02-06,"C",2110,4.2,4.4,181,306,0.123835,0.122726,0.002824,117.988,-85.35768,105918247,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.960142180094787,4.3,30,21,0.187657857142857,0.120215759844854
"11306",108105,2015-01-07,2015-02-06,"C",2125,2.5,2.6,119,687,0.120679,0.081146,0.002143,87.25063,-61.72237,105918250,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.953364705882353,2.55,30,21,0.187657857142857,0.117375849173672
"11308",108105,2015-01-07,2015-02-06,"C",2135,1.65,1.85,252,510,0.118835,0.059691,0.001718,68.88845,-48.08572,105918252,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.948899297423888,1.75,30,21,0.187657857142857,0.115713806224894
"25802",108105,2015-01-14,2015-02-20,"C",1990,54.1,56.7,207,465,0.1823,0.57396,0.003398,247.1327,-211.2254,105888711,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,1.01068844221106,55.4,37,25,0.180059285714286,0.174028515500471
"25806",108105,2015-01-14,2015-02-20,"C",2010,41.4,44,410,544,0.172957,0.503941,0.003645,251.5617,-205.5081,105888712,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,1.00063184079602,42.7,37,25,0.180059285714286,0.165800734992252
"25810",108105,2015-01-14,2015-02-20,"C",2030,30.2,32.6,537,1262,0.163414,0.426557,0.003794,247.3855,-192.2004,105888713,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.990773399014778,31.4,37,25,0.180059285714286,0.157229052323927
"25814",108105,2015-01-14,2015-02-20,"C",2050,21.1,22.9,1456,31397,0.154909,0.344861,0.003761,232.4503,-172.2509,105697033,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.981107317073171,22,37,25,0.180059285714286,0.149556438236657
"25818",108105,2015-01-14,2015-02-20,"C",2070,13.4,15.1,752,8269,0.145791,0.261448,0.00353,205.3078,-143.9399,105888714,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.971628019323671,14.25,37,25,0.180059285714286,0.141166687920897
"25821",108105,2015-01-14,2015-02-20,"C",2085,9,10.4,641,1141,0.139125,0.201385,0.003197,177.4553,-119.1521,106168809,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.964637889688249,9.7,37,25,0.180059285714286,0.134981326964868
"25824",108105,2015-01-14,2015-02-20,"C",2100,5.8,6.7,7330,35719,0.132927,0.147038,0.002739,145.2451,-93.49311,105697035,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.957747619047619,6.25,37,25,0.180059285714286,0.129207882387849
"25827",108105,2015-01-14,2015-02-20,"C",2115,3.4,4.5,137,3710,0.128671,0.103603,0.002215,113.6956,-71.07499,106237795,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.950955082742317,3.95,37,25,0.180059285714286,0.125298344426888
"25829",108105,2015-01-14,2015-02-20,"C",2125,2.4,3.4,4488,32589,0.126814,0.08095,0.001872,94.70791,-58.47327,105697036,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.94648,2.9,37,25,0.180059285714286,0.123633478995355
"25831",108105,2015-01-14,2015-02-20,"C",2135,1.55,2.6,358,379,0.124879,0.061702,0.001543,76.88052,-46.83208,106237796,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.942046838407494,2.075,37,25,0.180059285714286,0.121876412434687
"25833",108105,2015-01-14,2015-02-20,"C",2145,0.95,1.9,560,7564,0.122574,0.045355,0.001232,60.2324,-36.07615,106182161,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.937655011655012,1.425,37,25,0.180059285714286,0.119741772450159
"25835",108105,2015-01-14,2015-02-20,"C",2155,0.55,1.45,221,4635,0.121389,0.033588,0.000974,47.16944,-28.02653,106237797,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.933303944315545,1,37,25,0.180059285714286,0.118696005354605
"25844",108105,2015-01-14,2015-02-20,"C",2200,0.25,0.3,322,17032,0.124531,0.010398,0.00035,17.414,-10.68388,105697038,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.914213636363636,0.275,37,25,0.180059285714286,0.122207572707128
"26009",108105,2015-01-14,2015-03-20,"C",1985,70.1,73.3,2598,12923,0.181658,0.568831,0.002559,329.7707,-154.162,106208378,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,1.01323425692695,71.7,65,45,0.214711142857143,0.16979057883872
"26011",108105,2015-01-14,2015-03-20,"C",1995,63.7,66.8,11432,9658,0.178116,0.543115,0.002635,332.9087,-153.1857,106208380,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,1.00815538847118,65.25,65,45,0.214711142857143,0.166853746599715
"26013",108105,2015-01-14,2015-03-20,"C",2005,57.5,60.7,7331,7783,0.174724,0.516315,0.002701,334.6792,-151.6384,106208381,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,1.00312718204489,59.1,65,45,0.214711142857143,0.164032686503537
"26017",108105,2015-01-14,2015-03-20,"C",2025,45.7,48.7,1161,32944,0.166715,0.459315,0.002819,333.3825,-145.0581,103079808,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.99321975308642,47.2,65,45,0.214711142857143,0.157094291637263
"27049",108105,2015-01-14,2015-01-30,"C",1950,74,76.2,272,1299,0.228701,0.743622,0.003338,135.3525,-330.4169,104648612,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,1.03142051282051,75.1,16,11,0.149037125,0.220975678064921
"27059",108105,2015-01-14,2015-01-30,"C",2000,38.3,39.6,3932,2151,0.201543,0.554713,0.004652,166.2675,-365.3406,104648614,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,1.005635,38.95,16,11,0.149037125,0.197044631046491
"27064",108105,2015-01-14,2015-01-30,"C",2025,23.7,24.5,1726,1606,0.184283,0.430553,0.00506,165.3451,-334.4564,104648615,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.99321975308642,24.1,16,11,0.149037125,0.180840886609048
"27066",108105,2015-01-14,2015-01-30,"C",2035,18.8,19.6,315,169,0.178104,0.376626,0.00506,159.8154,-313.213,105918003,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.988339066339066,19.2,16,11,0.149037125,0.175016301860469
"27071",108105,2015-01-14,2015-01-30,"C",2060,9.4,9.9,319,6154,0.163573,0.241413,0.004526,131.2836,-237.6066,105870569,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.976344660194175,9.65,16,11,0.149037125,0.161220462722413
"27073",108105,2015-01-14,2015-01-30,"C",2070,6.7,7.2,210,2668,0.158435,0.191732,0.004089,114.877,-201.7745,105870570,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.971628019323671,6.95,16,11,0.149037125,0.156322175675032
"27075",108105,2015-01-14,2015-01-30,"C",2080,4.7,5.1,2025,2046,0.154335,0.148095,0.003556,97.32471,-166.8301,105870571,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.966956730769231,4.9,16,11,0.149037125,0.152430723777785
"27077",108105,2015-01-14,2015-01-30,"C",2090,3.1,3.5,639,5147,0.150015,0.109669,0.00297,78.99448,-131.8371,105870572,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.96233014354067,3.3,16,11,0.149037125,0.148297673077144
"27079",108105,2015-01-14,2015-01-30,"C",2100,2.1,2.35,1082,12585,0.147439,0.080029,0.002395,62.60899,-102.8608,104648618,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.957747619047619,2.225,16,11,0.149037125,0.145878157289286
"27083",108105,2015-01-14,2015-01-30,"C",2120,0.95,1.15,542,8783,0.14638,0.042309,0.001463,37.97147,-62.11398,105870574,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.948712264150943,1.05,16,11,0.149037125,0.145057127085208
"27093",108105,2015-01-14,2015-01-30,"C",2170,0.1,0.3,193,797,0.154325,0.009249,0.000383,10.48184,-18.17006,105918018,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.926852534562212,0.2,16,11,0.149037125,0.153359582294549
"27221",108105,2015-01-14,2015-02-06,"C",2000,43,44.1,370,527,0.192726,0.547514,0.004066,199.7442,-288.8923,105918225,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,1.005635,43.55,23,16,0.159076,0.186200780809
"27226",108105,2015-01-14,2015-02-06,"C",2025,28.6,29.2,1313,437,0.17912,0.439994,0.004358,198.9621,-269.4784,105918230,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.99321975308642,28.9,23,16,0.159076,0.173781870570801
"27231",108105,2015-01-14,2015-02-06,"C",2050,16.7,17.3,251,1823,0.164659,0.321124,0.004305,180.7049,-226.3955,105918235,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.981107317073171,17,23,16,0.159076,0.160300237991211
"27243",108105,2015-01-14,2015-02-06,"C",2110,2.45,2.65,2796,681,0.137941,0.081589,0.002166,76.1622,-80.89981,105918247,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.953208530805687,2.55,23,16,0.159076,0.135174092480656
"27246",108105,2015-01-14,2015-02-06,"C",2125,1.35,1.55,202,2189,0.135162,0.051281,0.001542,53.11983,-55.42263,105918250,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.94648,1.45,23,16,0.159076,0.132628066541409
"27249",108105,2015-01-14,2015-02-06,"C",2140,0.75,0.9,129,702,0.133919,0.031641,0.001052,35.89463,-37.18774,105918253,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.939845794392523,0.825,23,16,0.159076,0.131566351761375
"27538",108105,2015-01-14,2015-02-27,"C",2000,52.1,53.7,382,1132,0.176416,0.536164,0.003218,276.8188,-186.6254,105188541,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,1.005635,52.9,44,30,0.189062285714286,0.169588667686918
"28130",108105,2015-01-14,2015-03-31,"C",2075,26.8,28.3,1000,1500,0.149786,0.319516,0.002595,327.3364,-108.4506,106458101,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.969286746987952,27.55,76,52,0.221377928571429,0.143606727270796
"28133",108105,2015-01-14,2015-03-31,"C",2150,6.6,7.3,1002,1002,0.128299,0.122373,0.001721,185.9439,-53.73789,106482514,1,NA,1,"CBOE S&P 500 INDEX","E",2011.27,0.935474418604651,6.95,76,52,0.221377928571429,0.124278824153138
"38039",108105,2015-01-21,2015-02-20,"C",2010,48.5,50.7,188,721,0.171995,0.587723,0.003944,222.5491,-221.7167,105888712,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,1.01100497512438,49.6,30,21,0.168685857142857,0.160428063614188
"38041",108105,2015-01-21,2015-02-20,"C",2020,41.8,43,1321,2051,0.164458,0.548903,0.004196,226.4222,-216.4406,105728779,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,1.006,42.4,30,21,0.168685857142857,0.153699006418891
"38043",108105,2015-01-21,2015-02-20,"C",2030,35.6,37.3,560,1300,0.160731,0.506338,0.004326,228.1577,-214.2778,105888713,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,1.00104433497537,36.45,30,21,0.168685857142857,0.150656470447688
"38045",108105,2015-01-21,2015-02-20,"C",2040,29.7,31.4,292,2619,0.155331,0.461312,0.004457,227.1552,-207.0165,105728780,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.996137254901961,30.55,30,21,0.168685857142857,0.145928235080886
"38047",108105,2015-01-21,2015-02-20,"C",2050,24.4,25.8,6343,50564,0.149846,0.413779,0.004534,222.9151,-196.73,105697033,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.991278048780488,25.1,30,21,0.168685857142857,0.141074725836142
"38049",108105,2015-01-21,2015-02-20,"C",2060,19.6,21.3,1544,2906,0.145715,0.365612,0.004502,215.221,-185.4511,105728781,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.986466019417476,20.45,30,21,0.168685857142857,0.137492311406671
"38051",108105,2015-01-21,2015-02-20,"C",2070,15.2,17,289,11028,0.14054,0.315717,0.004414,203.5131,-169.7147,105888714,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.981700483091787,16.1,30,21,0.168685857142857,0.132860190283324
"38053",108105,2015-01-21,2015-02-20,"C",2080,11.5,13,974,8882,0.135061,0.265274,0.004233,187.5852,-150.8046,105728782,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.976980769230769,12.25,30,21,0.168685857142857,0.127901094828526
"38055",108105,2015-01-21,2015-02-20,"C",2090,8.5,9.8,621,3735,0.130579,0.217649,0.003932,168.4568,-131.3458,105888715,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.972306220095694,9.15,30,21,0.168685857142857,0.123870757852778
"38057",108105,2015-01-21,2015-02-20,"C",2100,6,7.1,17462,44119,0.125823,0.17221,0.003538,146.0771,-110.0636,105697035,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.96767619047619,6.55,30,21,0.168685857142857,0.119547667552591
"38059",108105,2015-01-21,2015-02-20,"C",2110,4,5,389,9183,0.121229,0.131033,0.003062,121.785,-88.64821,105888716,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.963090047393365,4.5,30,21,0.168685857142857,0.115352812102247
"38061",108105,2015-01-21,2015-02-20,"C",2120,2.9,3.3,833,11055,0.118329,0.098265,0.002555,99.20914,-70.68076,105728783,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.958547169811321,3.1,30,21,0.168685857142857,0.112762364141715
"38063",108105,2015-01-21,2015-02-20,"C",2130,2,2.4,308,9109,0.117309,0.074189,0.002089,80.38644,-56.93144,105888717,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.954046948356807,2.2,30,21,0.168685857142857,0.111956695046387
"38065",108105,2015-01-21,2015-02-20,"C",2140,1.15,1.7,404,9920,0.114673,0.052179,0.001624,61.09799,-42.39461,105888718,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.949588785046729,1.425,30,21,0.168685857142857,0.109577074411209
"38067",108105,2015-01-21,2015-02-20,"C",2150,0.75,1.2,4475,40284,0.114069,0.037717,0.001257,47.04136,-32.54204,105697037,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.945172093023256,0.975,30,21,0.168685857142857,0.10913380836998
"38069",108105,2015-01-21,2015-02-20,"C",2160,0.2,0.9,345,8815,0.110394,0.023456,0.000876,31.72443,-21.27702,105888719,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.940796296296296,0.55,30,21,0.168685857142857,0.105721118517091
"38071",108105,2015-01-21,2015-02-20,"C",2170,0,0.75,203,11475,0.110737,0.016635,0.000652,23.70058,-15.97562,105888720,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.936460829493088,0.375,30,21,0.168685857142857,0.106161304430045
"38422",108105,2015-01-21,2015-04-17,"C",2130,13.9,16.1,172,773,0.128381,0.215087,0.002317,286.1086,-72.13982,106369336,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.954046948356807,15,86,60,0.234993142857143,0.120691759575967
"38430",108105,2015-01-21,2015-04-17,"C",2200,2.75,3.9,929,1637,0.113876,0.068909,0.001187,129.9637,-29.62519,106341632,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.923690909090909,3.325,86,60,0.234993142857143,0.108212649448993
"38555",108105,2015-01-21,2015-06-19,"C",2050,66.3,69.7,6921,25222,0.159274,0.458595,0.001913,510.2091,-86.03753,101609633,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.991278048780488,68,149,104,0.264342071428571,0.144588448596619
"38558",108105,2015-01-21,2015-06-19,"C",2125,31.4,34.3,200,5085,0.140406,0.298258,0.001901,446.9752,-68.20282,102498022,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.956291764705882,32.85,149,104,0.264342071428571,0.129404568625252
"38561",108105,2015-01-21,2015-06-19,"C",2200,10.9,12.8,501,22033,0.124147,0.147744,0.001433,297.9606,-41.07567,101609637,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.923690909090909,11.85,149,104,0.264342071428571,0.115839012067419
"39679",108105,2015-01-21,2015-02-13,"C",1985,64.6,66.4,438,487,0.193475,0.68593,0.003587,180.5922,-254.7507,106100960,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,1.02373803526448,65.5,23,17,0.158700523809524,0.178454837925068
"39688",108105,2015-01-21,2015-02-13,"C",2030,33.8,34.8,108,582,0.16859,0.508174,0.004633,203.2309,-255.2264,106100969,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,1.00104433497537,34.3,23,17,0.158700523809524,0.157385029617667
"39692",108105,2015-01-21,2015-02-13,"C",2050,22.5,23.1,1111,1614,0.155569,0.408314,0.00489,197.9408,-230.9756,106100973,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.991278048780488,22.8,23,17,0.158700523809524,0.145786305319165
"39695",108105,2015-01-21,2015-02-13,"C",2065,15.6,16,131,546,0.146801,0.327941,0.004821,184.1498,-203.7754,106100976,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.984077481840194,15.8,23,17,0.158700523809524,0.137944264076312
"39697",108105,2015-01-21,2015-02-13,"C",2075,11.7,12.2,633,807,0.141381,0.274232,0.004618,169.8803,-181.6071,106100978,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.979334939759036,11.95,23,17,0.158700523809524,0.133077822422817
"39701",108105,2015-01-21,2015-02-13,"C",2095,6,6.2,303,289,0.130835,0.172835,0.00383,130.4053,-129.7288,106100982,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.969985680190931,6.1,23,17,0.158700523809524,0.123527083668897
"39709",108105,2015-01-21,2015-02-13,"C",2135,1.05,1.2,1047,593,0.11803,0.045826,0.001597,49.0537,-44.44344,106100990,1,NA,1,"CBOE S&P 500 INDEX","E",2032.12,0.951812646370023,1.125,23,17,0.158700523809524,0.112017715617274
