"","secid","date","exdate","last_date","cp_flag","strike_price","best_bid","best_offer","volume","open_interest","impl_volatility","delta","gamma","vega","theta","optionid","cfadj","forward_price","index_flag","issuer","div_convention","exercise_style","SPOT","moneyness","price","TM","TTM","interest","own_impvol"
"2085",108105,2010-01-06,2010-02-20,"01/06/2010","C",1125,31.1,32.9,5112,25590,0.173819,0.567509,0.005778,153.005,-100.9777,45586189,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,1.01079111111111,32,45,30,0.249092571428571,0.162388569437159
"2087",108105,2010-01-06,2010-02-20,"01/06/2010","C",1135,25.4,26.7,186,11041,0.168708,0.508417,0.006042,155.2818,-100.5346,46438717,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,1.00188546255507,26.05,45,30,0.249092571428571,0.158582659835267
"2092",108105,2010-01-06,2010-02-20,"01/06/2010","C",1160,13.5,14.8,2864,7897,0.157755,0.350979,0.006012,144.4883,-89.39709,46471887,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.980293103448276,14.15,45,30,0.249092571428571,0.15012628249017
"2095",108105,2010-01-06,2010-02-20,"01/06/2010","C",1175,8.6,9.5,1211,16001,0.151907,0.259324,0.005457,126.2809,-75.99323,46606199,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.967778723404255,9.05,45,30,0.249092571428571,0.145376725595862
"2097",108105,2010-01-06,2010-02-20,"01/06/2010","C",1185,6.1,7,411,11038,0.149106,0.205003,0.004877,110.7858,-65.82387,46335955,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.959611814345992,6.55,45,30,0.249092571428571,0.14316541889635
"2099",108105,2010-01-06,2010-02-20,"01/06/2010","C",1195,4.3,5.1,243,516,0.147514,0.15887,0.004203,94.44569,-55.81048,46195517,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.951581589958159,4.7,45,30,0.249092571428571,0.142056387866997
"2105",108105,2010-01-06,2010-03-20,"01/06/2010","C",1125,40.9,42.7,4714,51651,0.189411,0.548682,0.004149,197.6493,-84.78398,46535430,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,1.01079111111111,41.8,73,50,0.263555171428571,0.174568325271535
"2107",108105,2010-01-06,2010-03-20,"01/06/2010","C",1135,35,36.8,13122,2689,0.184708,0.506117,0.004288,199.232,-84.04096,45914794,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,1.00188546255507,35.9,73,50,0.263555171428571,0.171056830788505
"2115",108105,2010-01-06,2010-03-20,"01/06/2010","C",1175,16.6,17.9,1604,25850,0.168449,0.324585,0.004248,179.9827,-71.17921,46284258,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.967778723404255,17.25,73,50,0.263555171428571,0.158472182226018
"2120",108105,2010-01-06,2010-03-20,"01/06/2010","C",1100,57.3,59.1,10343,103282,0.201003,0.645054,0.003668,185.4613,-82.34193,45338004,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,1.03376363636364,58.2,73,50,0.263555171428571,0.182559670483565
"2122",108105,2010-01-06,2010-04-17,"01/06/2010","C",1150,34.8,36.6,6910,3522,0.187078,0.450922,0.003556,233.3344,-71.12645,46273929,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.988817391304348,35.7,101,69,0.277472771428571,0.173622771022773
"2133",108105,2010-01-06,2010-06-19,"01/06/2010","C",1150,48.5,50.8,398,62323,0.198095,0.464566,0.002626,298.54,-57.21102,45904764,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.988817391304348,49.65,164,113,0.330255945054945,0.180438973382141
"2673",108105,2010-01-06,2010-02-20,"01/06/2010","C",1210,2.4,2.9,639,3533,0.144226,0.101193,0.003143,69.04691,-40.15132,46430932,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.939785123966942,2.65,45,30,0.249092571428571,0.139393276031298
"2675",108105,2010-01-06,2010-02-20,"01/06/2010","C",1220,1.7,2,1449,6424,0.144237,0.074817,0.002508,55.11433,-32.17666,45734061,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.932081967213115,1.85,45,30,0.249092571428571,0.139707003317884
"2677",108105,2010-01-06,2010-02-20,"01/06/2010","C",1230,1.15,1.65,219,941,0.147235,0.05798,0.002017,45.23794,-27.05806,46609256,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.924504065040651,1.4,45,30,0.249092571428571,0.142902096196511
"2681",108105,2010-01-06,2010-02-20,"01/06/2010","C",1250,0.6,0.75,581,9773,0.148587,0.030512,0.001189,26.92046,-16.33983,44980347,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.909712,0.675,45,30,0.249092571428571,0.144661015707504
"2696",108105,2010-01-06,2010-03-20,"01/06/2010","C",1225,4.6,5.4,1205,12161,0.154117,0.132334,0.002767,107.2733,-39.7489,46288398,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.928277551020408,5,73,50,0.263555171428571,0.146940371314762
"2711",108105,2010-01-06,2010-03-20,"01/06/2010","C",1200,9.5,10,3654,103126,0.160568,0.218502,0.003656,147.664,-56.40556,45742523,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.947616666666667,9.75,73,50,0.263555171428571,0.152184823479385
"2719",108105,2010-01-06,2010-04-17,"01/06/2010","C",1200,15,16.3,1250,371,0.169908,0.26643,0.003255,193.9661,-55.24776,46513288,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.947616666666667,15.65,101,69,0.277472771428571,0.16024911182472
"6734",108105,2010-01-13,2010-02-20,"01/13/2010","C",1075,73.8,76.8,310,9241,0.208576,0.834034,0.003291,88.87083,-76.18527,45589738,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.0657488372093,75.3,38,25,0.23941325,0.183708025212582
"6805",108105,2010-01-13,2010-02-20,"01/13/2010","C",1125,33.8,35.6,9844,33999,0.170892,0.628906,0.006127,135.5495,-104.0732,45586189,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.01838222222222,34.7,38,25,0.23941325,0.159198320764175
"6807",108105,2010-01-13,2010-02-20,"01/13/2010","C",1135,27.4,28.7,559,18456,0.164697,0.567039,0.00662,141.1489,-105.8131,46438717,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.00940969162996,28.05,38,25,0.23941325,0.154587761895159
"6809",108105,2010-01-13,2010-02-20,"01/13/2010","C",1145,21.5,22.8,592,3293,0.159384,0.499209,0.006942,143.2475,-105.1524,45426847,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.00059388646288,22.15,38,25,0.23941325,0.150609116834677
"6811",108105,2010-01-13,2010-02-20,"01/13/2010","C",1155,16.3,17.6,1130,8403,0.154115,0.427409,0.007063,140.9269,-101.041,46341234,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.991930735930736,16.95,38,25,0.23941325,0.146461855727058
"6813",108105,2010-01-13,2010-02-20,"01/13/2010","C",1165,11.9,13.2,947,1626,0.149278,0.354212,0.006917,133.6701,-93.64955,46584915,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.983416309012876,12.55,38,25,0.23941325,0.142567727297204
"6815",108105,2010-01-13,2010-02-20,"01/13/2010","C",1175,8.9,9.5,5109,21955,0.146841,0.285686,0.006426,122.1627,-84.88589,46606199,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.975046808510638,9.2,38,25,0.23941325,0.140886883403822
"6817",108105,2010-01-13,2010-02-20,"01/13/2010","C",1185,5.8,6.8,197,15460,0.142315,0.21922,0.005766,106.2264,-71.99571,46335955,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.966818565400844,6.3,38,25,0.23941325,0.137032055947202
"6819",108105,2010-01-13,2010-02-20,"01/13/2010","C",1195,3.9,4.7,367,3758,0.140212,0.164094,0.004899,88.93327,-59.7396,46195517,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.958728033472803,4.3,38,25,0.23941325,0.135456065480903
"6825",108105,2010-01-13,2010-03-20,"01/13/2010","C",1125,43.3,45.1,1318,57588,0.185183,0.589722,0.004355,185.6123,-85.56207,46535430,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.01838222222222,44.2,66,45,0.255095142857143,0.169936922939669
"6827",108105,2010-01-13,2010-03-20,"01/13/2010","C",1135,37,38.8,10818,23047,0.180358,0.545515,0.004561,189.3383,-85.86591,45914794,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.00940969162996,37.9,66,45,0.255095142857143,0.166478381889445
"6829",108105,2010-01-13,2010-03-20,"01/13/2010","C",1145,31.1,32.9,1920,4000,0.175328,0.498646,0.004726,190.6919,-84.82239,45600612,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.00059388646288,32,66,45,0.255095142857143,0.162668278647753
"6837",108105,2010-01-13,2010-03-20,"01/13/2010","C",1185,13.4,14.7,151,532,0.159074,0.29996,0.004547,166.4591,-69.19511,45815921,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.966818565400844,14.05,66,45,0.255095142857143,0.150080265120236
"6841",108105,2010-01-13,2010-04-17,"01/13/2010","C",1125,50.8,52.6,1500,11879,0.192131,0.572212,0.003527,224.1974,-73.42126,45656795,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.01838222222222,51.7,94,64,0.268051142857143,0.17565669188016
"6846",108105,2010-01-13,2010-04-17,"01/13/2010","C",1175,24.3,25.6,273,2802,0.172058,0.379233,0.003831,218.0743,-66.48519,46792570,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.975046808510638,24.95,94,64,0.268051142857143,0.160843172468157
"6852",108105,2010-01-13,2010-06-19,"01/13/2010","C",1130,60.1,63.9,125,1297,0.198523,0.540234,0.002651,293.3442,-57.42052,46376056,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.01387610619469,62,157,108,0.312090725274725,0.178443324932128
"6855",108105,2010-01-13,2010-06-19,"01/13/2010","C",1170,39.4,41.7,3050,3050,0.185219,0.426382,0.002816,290.692,-54.62226,45881911,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.979213675213675,40.55,157,108,0.312090725274725,0.169272162113955
"7423",108105,2010-01-13,2010-02-20,"01/13/2010","C",1205,2.5,3.1,472,6320,0.137801,0.117409,0.00397,70.83192,-46.99653,46249853,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.950771784232365,2.8,38,25,0.23941325,0.133497796217774
"7425",108105,2010-01-13,2010-02-20,"01/13/2010","C",1215,1.55,2.15,778,7168,0.1374,0.083325,0.003099,55.13049,-36.63738,46893343,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.942946502057613,1.85,38,25,0.23941325,0.133443957047753
"7427",108105,2010-01-13,2010-02-20,"01/13/2010","C",1225,1.3,1.5,1558,25985,0.141897,0.064039,0.002454,45.07566,-31.06966,46346612,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.935248979591837,1.4,38,25,0.23941325,0.138143282839555
"7432",108105,2010-01-13,2010-02-20,"01/13/2010","C",1250,0.35,0.6,3733,13664,0.142783,0.024859,0.001132,20.92265,-14.6186,44980347,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.916544,0.475,38,25,0.23941325,0.139575719162486
"7442",108105,2010-01-13,2010-02-20,"01/13/2010","C",1200,3.5,3.9,10923,52343,0.141619,0.144242,0.004454,81.66415,-55.57559,45912770,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.954733333333333,3.7,38,25,0.23941325,0.137046520618952
"7447",108105,2010-01-13,2010-03-20,"01/13/2010","C",1225,4.3,5.1,5590,18513,0.147832,0.134697,0.003053,103.8809,-40.96066,46288398,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.935248979591837,4.7,66,45,0.255095142857143,0.141082075672752
"7450",108105,2010-01-13,2010-03-20,"01/13/2010","C",1240,2.65,3.2,852,1417,0.145109,0.092361,0.002376,79.34045,-30.88997,46777116,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.923935483870968,2.925,66,45,0.255095142857143,0.138941427608108
"7476",108105,2010-01-13,2010-06-19,"01/13/2010","C",1250,12.3,13.9,775,28514,0.163974,0.200794,0.002284,208.7738,-36.19489,46646032,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.916544,13.1,157,108,0.312090725274725,0.153437261154134
"10491",108105,2010-01-20,2010-02-20,"01/20/2010","C",1090,53.1,54.9,204,356,0.192147,0.785729,0.004706,93.05767,-95.79985,45528987,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,1.04407339449541,54,31,21,0.233502821428571,0.170979386182825
"10551",108105,2010-01-20,2010-02-20,"01/20/2010","C",1125,26.6,27.9,730,37521,0.165876,0.593195,0.007276,124.1844,-117.0371,45586189,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,1.01159111111111,27.25,31,21,0.233502821428571,0.152912620547372
"10553",108105,2010-01-20,2010-02-20,"01/20/2010","C",1135,20.4,21.5,920,20380,0.158697,0.518754,0.007814,127.6069,-116.4322,46438717,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,1.00267841409692,20.95,31,21,0.233502821428571,0.147295306780861
"10555",108105,2010-01-20,2010-02-20,"01/20/2010","C",1145,15,16.3,1920,5010,0.153365,0.438255,0.008001,126.264,-112.5669,45426847,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.993921397379913,15.65,31,21,0.233502821428571,0.143236814057618
"10557",108105,2010-01-20,2010-02-20,"01/20/2010","C",1155,10.6,11.8,1758,12335,0.148198,0.355641,0.007828,119.3725,-103.7898,46341234,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.985316017316017,11.2,31,21,0.233502821428571,0.139131790080583
"10559",108105,2010-01-20,2010-02-20,"01/20/2010","C",1165,7.2,7.7,1868,10270,0.141588,0.27258,0.007308,106.4799,-89.10041,46584915,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.976858369098712,7.45,31,21,0.233502821428571,0.133473222338775
"10561",108105,2010-01-20,2010-02-20,"01/20/2010","C",1175,4.7,5.1,7701,42518,0.138477,0.200938,0.006316,89.99965,-74.17344,46606199,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.968544680851064,4.9,31,21,0.233502821428571,0.131053051830419
"10563",108105,2010-01-20,2010-02-20,"01/20/2010","C",1185,2.9,3.3,2683,17916,0.136106,0.141347,0.005128,71.82574,-58.52745,46335955,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.960371308016878,3.1,31,21,0.233502821428571,0.129235895474732
"10565",108105,2010-01-20,2010-02-20,"01/20/2010","C",1195,1.75,2.1,3171,7378,0.135004,0.096103,0.003934,54.65666,-44.40103,46195517,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.952334728033473,1.925,31,21,0.233502821428571,0.128552253751858
"10572",108105,2010-01-20,2010-03-20,"01/20/2010","C",1130,33.3,35.1,11014,40460,0.177994,0.53613,0.004945,178.0238,-90.13864,46760722,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,1.00711504424779,34.2,59,41,0.248884942857143,0.163137883006154
"10574",108105,2010-01-20,2010-03-20,"01/20/2010","C",1140,27.8,29.1,983,28935,0.172941,0.485224,0.00511,178.7329,-88.7317,45115319,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.998280701754386,28.45,59,41,0.248884942857143,0.15933462351044
"10578",108105,2010-01-20,2010-03-20,"01/20/2010","C",1160,18,19.3,488,16299,0.163531,0.377837,0.005157,170.5505,-81.33661,45077620,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.981068965517241,18.65,59,41,0.248884942857143,0.152020977312478
"10582",108105,2010-01-20,2010-03-20,"01/20/2010","C",1180,10.7,12,249,1409,0.155836,0.27209,0.004728,149.028,-68.62914,46358456,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.964440677966102,11.35,59,41,0.248884942857143,0.145948493627979
"10584",108105,2010-01-20,2010-03-20,"01/20/2010","C",1190,8,9,1512,2336,0.151872,0.222369,0.004356,133.7916,-60.3779,45252880,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.956336134453782,8.5,59,41,0.248884942857143,0.142677307551019
"10591",108105,2010-01-20,2010-04-17,"01/20/2010","C",1140,35.5,37.3,150,1800,0.18162,0.487878,0.003979,217.9659,-74.74274,45504198,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.998280701754386,36.4,87,60,0.260009742857143,0.167078162537638
"10593",108105,2010-01-20,2010-04-17,"01/20/2010","C",1160,25.7,27,175,829,0.173483,0.404229,0.004051,211.9761,-70.47117,45149423,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.981068965517241,26.35,87,60,0.260009742857143,0.160945532573151
"10607",108105,2010-01-20,2010-06-19,"01/20/2010","C",1150,43.7,45.9,704,66219,0.187864,0.460827,0.002894,285.5443,-56.59413,45904764,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.9896,44.8,150,104,0.293450314285714,0.170403164053341
"10613",108105,2010-01-20,2010-06-19,"01/20/2010","C",1100,72.3,75.6,2147,80333,0.204712,0.60134,0.002571,276.3967,-57.25908,33432887,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,1.03458181818182,73.95,150,104,0.293450314285714,0.18121747306937
"11115",108105,2010-01-20,2010-02-20,"01/20/2010","C",1210,0.8,1.1,2534,11299,0.135866,0.05249,0.002459,34.37672,-28.28146,46430932,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.940528925619835,0.95,31,21,0.233502821428571,0.129826322738347
"11117",108105,2010-01-20,2010-02-20,"01/20/2010","C",1220,0.55,0.7,2357,10885,0.138499,0.035899,0.001775,25.30015,-21.29144,45734061,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.932819672131147,0.625,31,21,0.233502821428571,0.132599408355946
"11119",108105,2010-01-20,2010-02-20,"01/20/2010","C",1230,0.2,0.5,3782,7801,0.137722,0.02164,0.001171,16.59906,-13.92835,46609256,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.925235772357724,0.35,31,21,0.233502821428571,0.132055096516833
"11121",108105,2010-01-20,2010-02-20,"01/20/2010","C",1240,0.15,0.4,11401,14666,0.144311,0.016753,0.000899,13.3524,-11.77156,45235988,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.917774193548387,0.275,31,21,0.233502821428571,0.138580168983509
"11123",108105,2010-01-20,2010-02-20,"01/20/2010","C",1250,0.15,0.3,3860,28927,0.151323,0.01342,0.000709,11.03469,-10.22422,44980347,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.910432,0.225,31,21,0.233502821428571,0.1454993625012
"11125",108105,2010-01-20,2010-02-20,"01/20/2010","C",1260,0.1,0.2,1388,6852,0.153957,0.009166,5e-04,7.921553,-7.480938,45372432,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.903206349206349,0.15,31,21,0.233502821428571,0.148181061233306
"11133",108105,2010-01-20,2010-02-20,"01/20/2010","C",1200,1.45,1.65,11220,83517,0.135683,0.079789,0.003407,47.57503,-38.93352,45912770,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.948366666666667,1.55,31,21,0.233502821428571,0.12936772381703
"11137",108105,2010-01-20,2010-03-20,"01/20/2010","C",1220,2.95,3.5,286,1188,0.143962,0.106312,0.002831,82.43884,-35.76353,45647607,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.932819672131147,3.225,59,41,0.248884942857143,0.136310463917318
"11139",108105,2010-01-20,2010-03-20,"01/20/2010","C",1230,2,2.6,252,4073,0.142853,0.080613,0.002326,67.19236,-29.03805,45028000,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.925235772357724,2.3,59,41,0.248884942857143,0.135556240418097
"11142",108105,2010-01-20,2010-03-20,"01/20/2010","C",1245,1.1,1.7,335,547,0.142646,0.052837,0.001679,48.43159,-21.0092,46278146,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.914088353413655,1.4,59,41,0.248884942857143,0.13575456406087
"11159",108105,2010-01-20,2010-04-17,"01/20/2010","C",1250,3,3.6,538,4616,0.148002,0.090046,0.001996,89.10499,-26.43134,45142431,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.910432,3.3,87,60,0.260009742857143,0.140801767231105
"11172",108105,2010-01-20,2010-06-19,"01/20/2010","C",1225,15.1,16.5,800,9988,0.165791,0.235701,0.002552,222.211,-40.56264,46768781,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.929012244897959,15.8,150,104,0.293450314285714,0.154076869205439
"11177",108105,2010-01-20,2010-06-19,"01/20/2010","C",1200,22.7,24.3,827,104571,0.173001,0.308632,0.002795,253.9498,-47.79515,33432888,1,NA,1,"CBOE S&P 500 INDEX","I","E",1138.04,0.948366666666667,23.5,150,104,0.293450314285714,0.159691533956122
"15017",108105,2010-01-27,2010-02-20,"01/27/2010","C",1050,53.1,56.2,153,9342,0.23873,0.776474,0.004627,80.18922,-141.7783,46866889,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,1.0452380952381,54.65,24,16,0.229496214285714,0.218149039652217
"15023",108105,2010-01-27,2010-02-20,"01/27/2010","C",1080,30,32.2,239,366,0.207133,0.623927,0.006787,102.0566,-161.7077,46947094,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,1.0162037037037,31.1,24,16,0.229496214285714,0.19288755401257
"15025",108105,2010-01-27,2010-02-20,"01/27/2010","C",1090,25.1,26.5,767,916,0.210878,0.553053,0.006948,106.3724,-173.9828,45528987,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,1.00688073394495,25.8,24,16,0.229496214285714,0.197914414520945
"15042",108105,2010-01-27,2010-03-20,"01/27/2010","C",1075,44.1,47.5,845,27410,0.219682,0.601658,0.004306,156.0951,-112.0978,44976622,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,1.02093023255814,45.8,52,36,0.250990485714286,0.202217543483338
"15044",108105,2010-01-27,2010-03-20,"01/27/2010","C",1085,37.8,41.1,23004,1733,0.214308,0.558005,0.004518,159.7492,-112.8499,46901549,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,1.01152073732719,39.45,52,36,0.250990485714286,0.198210946535037
"15046",108105,2010-01-27,2010-03-20,"01/27/2010","C",1095,31.8,34.8,1684,19312,0.207495,0.511654,0.004716,161.4729,-111.196,46601371,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,1.00228310502283,33.3,52,36,0.250990485714286,0.192654117405947
"15067",108105,2010-01-27,2010-06-19,"01/27/2010","C",1050,81.6,84.9,184,17998,0.232606,0.622923,0.002363,255.7471,-63.6837,46908027,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,1.0452380952381,83.25,143,99,0.3019182,0.207031884098167
"15084",108105,2010-01-27,2010-02-20,"01/27/2010","C",1110,12.9,15.6,5390,4529,0.18901,0.402065,0.007589,104.1342,-154.4898,45408216,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.988738738738739,14.25,24,16,0.229496214285714,0.178580333713372
"15086",108105,2010-01-27,2010-02-20,"01/27/2010","C",1120,9.1,11.4,4389,5832,0.18371,0.324516,0.007261,96.84155,-140.4954,46844161,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.979910714285714,10.25,24,16,0.229496214285714,0.174162760510634
"15088",108105,2010-01-27,2010-02-20,"01/27/2010","C",1130,6.2,7.5,1788,14015,0.176189,0.247711,0.006657,85.15207,-119.0479,45244711,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.971238938053097,6.85,24,16,0.229496214285714,0.167477606558199
"15090",108105,2010-01-27,2010-02-20,"01/27/2010","C",1140,4,5.2,5186,40190,0.173389,0.183994,0.005691,71.64306,-99.03146,46907494,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.962719298245614,4.6,24,16,0.229496214285714,0.165243721835988
"15092",108105,2010-01-27,2010-02-20,"01/27/2010","C",1150,2.8,3.2,8206,89155,0.171403,0.131654,0.004619,57.47615,-78.85066,46680708,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.954347826086957,3,24,16,0.229496214285714,0.163710344679927
"15094",108105,2010-01-27,2010-02-20,"01/27/2010","C",1160,1.65,1.95,6977,22747,0.167684,0.087781,0.003527,42.93504,-57.80832,46471887,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.946120689655172,1.8,24,16,0.229496214285714,0.160441949137078
"15096",108105,2010-01-27,2010-02-20,"01/27/2010","C",1170,0.8,1.3,1201,9726,0.165184,0.056229,0.002543,30.49239,-40.55669,46443648,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.938034188034188,1.05,24,16,0.229496214285714,0.158295643705532
"15098",108105,2010-01-27,2010-02-20,"01/27/2010","C",1180,0.6,0.9,1321,17163,0.170468,0.040921,0.001911,23.6461,-32.54574,46602291,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.930084745762712,0.75,24,16,0.229496214285714,0.163607428725217
"15100",108105,2010-01-27,2010-02-20,"01/27/2010","C",1190,0.4,0.55,5648,20687,0.17204,0.027204,0.001353,16.89694,-23.52124,46289783,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.922268907563025,0.475,24,16,0.229496214285714,0.165312646096729
"15106",108105,2010-01-27,2010-03-20,"01/27/2010","C",1120,19.1,21.6,1314,15237,0.192443,0.385875,0.004883,155.0415,-100.5468,45081879,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.979910714285714,20.35,52,36,0.250990485714286,0.180222779248901
"15108",108105,2010-01-27,2010-03-20,"01/27/2010","C",1130,15,17.6,660,47030,0.187847,0.334904,0.004765,147.6961,-94.01713,46760722,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.971238938053097,16.3,52,36,0.250990485714286,0.176466870478977
"15110",108105,2010-01-27,2010-03-20,"01/27/2010","C",1140,11.5,14,121,31538,0.183068,0.28466,0.004556,137.6094,-85.79095,45115319,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.962719298245614,12.75,52,36,0.250990485714286,0.172452360322616
"15113",108105,2010-01-27,2010-03-20,"01/27/2010","C",1155,7.5,9.5,150,6592,0.176721,0.214376,0.004058,118.338,-71.69607,46220042,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.95021645021645,8.5,52,36,0.250990485714286,0.167094215809205
"15116",108105,2010-01-27,2010-03-20,"01/27/2010","C",1170,4.4,6.4,232,4719,0.171173,0.153295,0.003399,95.98939,-56.65906,46616573,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.938034188034188,5.4,52,36,0.250990485714286,0.162372957259372
"15118",108105,2010-01-27,2010-03-20,"01/27/2010","C",1180,2.9,4.9,2591,4762,0.168119,0.119257,0.002914,80.82986,-47.02307,46358456,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.930084745762712,3.9,52,36,0.250990485714286,0.159784694218033
"15121",108105,2010-01-27,2010-03-20,"01/27/2010","C",1195,1.95,3.2,3279,4160,0.168598,0.084186,0.002254,62.70678,-36.77,46294602,1,NA,1,"CBOE S&P 500 INDEX","I","E",1097.5,0.918410041841004,2.575,52,36,0.250990485714286,0.160692949590282
