date,days,rate
01/08/2019,617,2.712376
01/08/2019,708,2.696934
01/08/2019,799,2.686156
01/08/2019,890,2.673463
01/08/2019,981,2.662189
01/08/2019,1072,2.653258
01/08/2019,1163,2.648877
01/08/2019,1254,2.645862
01/08/2019,1352,2.644118
01/08/2019,1443,2.643704
01/08/2019,1527,2.645066
01/08/2019,1625,2.647609
01/08/2019,1716,2.651349
01/08/2019,1807,2.655979
01/08/2019,1898,2.662097
01/08/2019,1989,2.668807
01/08/2019,2080,2.676251
01/08/2019,2171,2.684548
01/08/2019,2262,2.693999
01/08/2019,2353,2.703693
01/08/2019,2444,2.713602
01/08/2019,2535,2.723883
01/08/2019,2626,2.734323
01/08/2019,2717,2.744233
01/08/2019,2808,2.753989
01/08/2019,2899,2.763765
01/08/2019,2990,2.773558
01/08/2019,3081,2.783069
01/08/2019,3172,2.792324
01/08/2019,3263,2.801202
01/08/2019,3354,2.810827
01/08/2019,3452,2.820884
01/08/2019,3543,2.830136
01/08/2019,3634,2.83905
01/09/2019,7,2.447157
01/09/2019,31,2.550915
01/09/2019,42,2.603189
01/09/2019,70,2.665882
01/09/2019,98,2.68697
01/09/2019,126,2.698686
01/09/2019,161,2.708542
01/09/2019,252,2.722914
01/09/2019,343,2.724316
01/09/2019,434,2.724075
01/09/2019,525,2.709951
01/09/2019,616,2.694048
01/09/2019,707,2.678349
01/09/2019,798,2.666806
01/09/2019,889,2.653501
01/09/2019,980,2.641731
01/09/2019,1071,2.632389
01/09/2019,1162,2.627666
01/09/2019,1253,2.624361
01/09/2019,1351,2.622349
01/09/2019,1442,2.622355
01/09/2019,1526,2.624338
01/09/2019,1624,2.627829
01/09/2019,1715,2.632621
01/09/2019,1806,2.638705
01/09/2019,1897,2.646138
01/09/2019,1988,2.654043
01/09/2019,2079,2.662797
01/09/2019,2170,2.672506
01/09/2019,2261,2.683257
01/09/2019,2352,2.693955
01/09/2019,2443,2.704793
01/09/2019,2534,2.715936
01/09/2019,2625,2.727354
01/09/2019,2716,2.738174
01/09/2019,2807,2.748783
01/09/2019,2898,2.759357
01/09/2019,2989,2.7699
01/09/2019,3080,2.780117
01/09/2019,3171,2.790037
01/09/2019,3262,2.799543
01/09/2019,3353,2.809762
01/09/2019,3451,2.820423
01/09/2019,3542,2.830206
01/09/2019,3633,2.839625
01/10/2019,7,2.440939
01/10/2019,31,2.546343
01/10/2019,41,2.595429
01/10/2019,69,2.666286
01/10/2019,97,2.688934
01/10/2019,125,2.701436
01/10/2019,160,2.712965
01/10/2019,251,2.729442
01/10/2019,342,2.731791
01/10/2019,433,2.731036
01/10/2019,524,2.716552
01/10/2019,615,2.700392
01/10/2019,706,2.684504
01/10/2019,797,2.672818
01/10/2019,888,2.659913
01/10/2019,979,2.64894
01/10/2019,1070,2.640261
01/10/2019,1161,2.635707
01/10/2019,1252,2.632913
01/10/2019,1350,2.631375
01/10/2019,1441,2.631448
01/10/2019,1525,2.633486
01/10/2019,1623,2.637035
01/10/2019,1714,2.641875
01/10/2019,1805,2.64775
01/10/2019,1896,2.654994
01/10/2019,1987,2.662728
01/10/2019,2078,2.671327
01/10/2019,2169,2.680683
01/10/2019,2260,2.691109
01/10/2019,2351,2.701507
01/10/2019,2442,2.712068
01/10/2019,2533,2.722955
01/10/2019,2624,2.734133
01/10/2019,2715,2.744731
01/10/2019,2806,2.75513
01/10/2019,2897,2.765509
01/10/2019,2988,2.775868
01/10/2019,3079,2.785912
01/10/2019,3170,2.795669
01/10/2019,3261,2.805021
01/10/2019,3352,2.815094
01/10/2019,3450,2.825606
01/10/2019,3541,2.835259
01/10/2019,3632,2.844554
01/11/2019,7,2.439695
01/11/2019,31,2.540998
01/11/2019,40,2.585376
01/11/2019,68,2.657248
01/11/2019,96,2.681294
01/11/2019,124,2.693336
01/11/2019,159,2.704494
01/11/2019,187,2.712794
01/11/2019,250,2.721208
01/11/2019,341,2.723074
01/11/2019,432,2.722033
01/11/2019,523,2.705582
01/11/2019,614,2.687289
01/11/2019,705,2.668517
01/11/2019,796,2.654038
01/11/2019,887,2.638394
01/11/2019,978,2.624724
01/11/2019,1069,2.613811
01/11/2019,1160,2.607375
01/11/2019,1251,2.602976
01/11/2019,1349,2.599954
01/11/2019,1440,2.599148
01/11/2019,1524,2.600746
01/11/2019,1622,2.604146
01/11/2019,1713,2.608864
01/11/2019,1804,2.61463
01/11/2019,1895,2.621776
01/11/2019,1986,2.629652
01/11/2019,2077,2.638601
01/11/2019,2168,2.648279
01/11/2019,2259,2.658596
01/11/2019,2350,2.668893
01/11/2019,2441,2.679736
01/11/2019,2532,2.690885
01/11/2019,2623,2.702307
01/11/2019,2714,2.713133
01/11/2019,2805,2.723745
01/11/2019,2896,2.734323
01/11/2019,2987,2.744869
01/11/2019,3078,2.75509
01/11/2019,3169,2.765012
01/11/2019,3260,2.774521
01/11/2019,3351,2.784742
01/11/2019,3449,2.795406
01/11/2019,3540,2.805191
01/11/2019,3631,2.814612
01/14/2019,7,2.428501
01/14/2019,31,2.542123
01/14/2019,37,2.569109
01/14/2019,65,2.646946
01/14/2019,93,2.671822
01/14/2019,121,2.685185
01/14/2019,156,2.697253
01/14/2019,184,2.705249
01/14/2019,247,2.713118
01/14/2019,338,2.717178
01/14/2019,429,2.719516
01/14/2019,520,2.705173
01/14/2019,611,2.688352
01/14/2019,702,2.671321
01/14/2019,793,2.658778
01/14/2019,884,2.644668
01/14/2019,975,2.632251
01/14/2019,1066,2.622385
01/14/2019,1157,2.616844
01/14/2019,1248,2.612846
01/14/2019,1346,2.610198
01/14/2019,1437,2.609698
01/14/2019,1521,2.611274
01/14/2019,1619,2.614653
01/14/2019,1710,2.619087
01/14/2019,1801,2.6246
01/14/2019,1892,2.63152
01/14/2019,1983,2.639192
01/14/2019,2074,2.647515
01/14/2019,2165,2.65662
01/14/2019,2256,2.666614
01/14/2019,2347,2.676613
01/14/2019,2438,2.687182
01/14/2019,2529,2.698076
01/14/2019,2620,2.709261
01/14/2019,2711,2.719865
01/14/2019,2802,2.730271
01/14/2019,2893,2.740654
01/14/2019,2984,2.751018
01/14/2019,3075,2.761066
01/14/2019,3166,2.770826
01/14/2019,3257,2.780181
01/14/2019,3348,2.790258
01/14/2019,3446,2.800774
01/14/2019,3537,2.81043
01/14/2019,3628,2.819727
01/15/2019,7,2.43472
01/15/2019,31,2.539591
01/15/2019,36,2.562967
