"","x"
"1","2015-01-07"
"2","1.78826847213165e-07"
"3","5.58775867982144e-06"
"4","0.886309523992"
"5","90.4276156748887"
"6","0.000110343405402171"
"7","0.135657628526131"
"8","-0.839204860039422"
"9","0.287235735999437"
"10","2.42026851231393"
"11","0.860844344489514"
"12","1.22377267577047"
"13","2.74452198561168"
